queries 
01/19/26 10:36:05 AM 
 last 1 week 
 10080 
Database: : C2L_DMS 
Number of queries: 100 
,Query Id,Query,Elapsed Time,Number of Sessions,Number of Executions,Average Response Time,Weight (%)
312,020000009C15BB2AEF29F9FDE4969FCAD7C383E84766FB7E0000000000000000000000000000000000000000,"(@P1 datetime,@P2 datetime)select * from BENEFIT nolock
where systemupdateddt between @P1 and @P2",2h 30m 33s,35,312,0h 0m 28.95s,1
182,0200000081EBF107AD207782D4FD555D8E7AB2A2937EF5AE0000000000000000000000000000000000000000,"(@P0 int,@P1 int)select top ? compensati0_.COMPENSATIONPAYABLESEQ as COMPENSA1_136_, compensati0_.versionid as versionid136_, compensati0_.guid as guid136_, compensati0_.REFGUID as REFGUID136_, compensati0_.SOURCEAGENTID as SOURCEAG5_136_, compensati0_.PAYTOAGENTID as PAYTOAGE6_136_, compensati0_.PAYABLEDT as PAYABLEDT136_, compensati0_.DEFINITIONTYPECD as DEFINITI8_136_, compensati0_.DEFINITIONSUBTYPECD as DEFINITI9_136_, compensati0_.DEFINITIONSUBSUBTYPECD as DEFINIT10_136_, compensati0_.PAYHEADCD as PAYHEADCD136_, compensati0_.DEFINITIONCD as DEFINIT12_136_, compensati0_.GROSSPAYABLEVALUE as GROSSPA13_136_, compensati0_.ACTIONFIELDTYPECD as ACTIONF14_136_, compensati0_.RANKSORTORDER as RANKSOR15_136_, compensati0_.PAIDVALUE as PAIDVALUE136_, compensati0_.PAYMENTFL as PAYMENTFL136_, compensati0_.TRANSACTIONHOLDAMT as TRANSAC18_136_, compensati0_.LUMPSUMHOLDAMT as LUMPSUM19_136_, compensati0_.PENDINGINVOICEAMT as PENDING20_136_, compensati0_.APPROVEDINVOICEAMT as APPROVE21_136_, compensati0_.PAYMENTMODE as PAYMENT22_136_, compensati0_.PAYEENAME as PAYEENAME136_, compensati0_.BANKCD as BANKCD136_, compensati0_.BANKBRANCH as BANKBRANCH136_, compensati0_.BANKACCOUNTNUMBER as BANKACC26_136_, compensati0_.IFSCCD as IFSCCD136_, compensati0_.CARDTYPE as CARDTYPE136_, compensati0_.CARDHOLDERNAME as CARDHOL29_136_, compensati0_.CARDNUMBER as CARDNUMBER136_, compensati0_.EXPIRYMONTH as EXPIRYM31_136_, compensati0_.EXPIRYYEAR as EXPIRYYEAR136_, compensati0_.CASHBANKCD as CASHBANKCD136_, compensati0_.TAXCALCULATIONFL as TAXCALC34_136_, compensati0_.INVOICEREQUIREDFL as INVOICE35_136_, compensati0_.TAXPERIOD as TAXPERIOD136_, compensati0_.IMMEDIATEPAYMENTFL as IMMEDIA37_136_, compensati0_.GLPOSTINGFL as GLPOSTI38_136_, compensati0_.PREMIUMTYPECD as PREMIUM39_136_, compensati0_.PREMIUMSUBTYPECD as PREMIUM40_136_, compensati0_.POLICYYEAR as POLICYYEAR136_, compensati0_.PRODUCTCLASS1 as PRODUCT42_136_, compensati0_.PRODUCTCLASS2 as PRODUCT43_136_, compensati0_.PRODUCTCLASS3 as PRODUCT44_136_, compensati0_.CHARGECD as CHARGECD136_, compensati0_.MINPAYMENTAMT as MINPAYM46_136_, compensati0_.POLICYNUM as POLICYNUM136_, compensati0_.PRODUCTCD as PRODUCTCD136_, compensati0_.PRODUCTVER as PRODUCTVER136_, compensati0_.ENHANCETYPE as ENHANCE50_136_, compensati0_.SOURCE as SOURCE136_, compensati0_.TDSAPPLICABLEFL as TDSAPPL52_136_, compensati0_.SERVICETAXAPPLICABLEFL as SERVICE53_136_, compensati0_.ORIGINALPAYABLEGUID as ORIGINA54_136_, compensati0_.CHARGEGLCD as CHARGEGLCD136_, compensati0_.LOTNO as LOTNO136_, compensati0_.CREATEDDT as CREATEDDT136_, compensati0_.CREATEDBY as CREATEDBY136_, compensati0_.UPDATEDDT as UPDATEDDT136_, compensati0_.UPDATEDBY as UPDATEDBY136_, compensati0_.SYSTEMCREATEDDT as SYSTEMC61_136_, compensati0_.SYSTEMUPDATEDDT as SYSTEMU62_136_, compensati0_.VAT as VAT136_, compensati0_.WHT as WHT136_, compensati0_.NETPREMIUMFL as NETPREM65_136_, compensati0_.VATAPPLICABLEFL as VATAPPL66_136_ from COMPENSATIONPAYABLE compensati0_, BUSINESSDATE businessda1_, AGENT agentdo2_, AGENTDETAIL agentdetai3_ where (compensati0_.TAXCALCULATIONFL=? )and((compensati0_.TDSAPPLICABLEFL=? )or(compensati0_.SERVICETAXAPPLICABLEFL=? )or(compensati0_.VATAPPLICABLEFL=? ))and(compensati0_.PAYABLEDT&lt;=businessda1_.BATCHDATE )and(agentdo2_.AGENTID=compensati0_.PAYTOAGENTID )and(agentdo2_.AGENTSEQ=agentdetai3_.AGENTSEQ )and((agentdo2_.INTERMEDCATCD!=? )or(agentdetai3_.CHANNELCD=? ))and(agentdo2_.AGENTSEQ % @P0 = @P1 ) order by compensati0_.ORIGINALPAYABLEGUID",2h 26m 24s,43,182,0h 0m 48.26s,1
41,0200000054E9D40B594C465E79A386B71E6EB9AD99FACDB40000000000000000000000000000000000000000,"SELECT
SCHEMA_NAME(tbl.schema_id) AS [Schema],
tbl.name AS [Name],
tbl.object_id AS [ID]
FROM
sys.tables AS tbl
ORDER BY
[Schema] ASC,[Name] ASC",2h 7m 45s,13,41,0h 3m 6.95s,1
17,02000000FD26D322769CEE691C933F258772430BD1146CFF0000000000000000000000000000000000000000,"(@_msparam_0 nvarchar(?))SELECT
SCHEMA_NAME(v.schema_id) AS [Schema],
v.name AS [Name],
v.object_id AS [ID]
FROM
sys.all_views AS v
WHERE
(v.type = @_msparam_0)
ORDER BY
[Schema] ASC,[Name] ASC",1h 56m 3s,7,17,0h 6m 49.59s,1
0,01000100E9E5F417903FEFBEF501000000000000000000000000000000000000000000000000000000000000,"(@database_name nvarchar(?),@vdi_device_name nvarchar(?))BACKUP DATABASE @database_name TO VIRTUAL_DEVICE = @vdi_device_name WITH STATS = ?;",1h 48m 42s,1,0,'-,1
309,020000007B08D330F2B85A206464522A7B60EEA4B641EF2C0000000000000000000000000000000000000000,"(@_msparam_0 nvarchar(?),@_msparam_1 nvarchar(?))SELECT
clmns.column_id AS [ID],
clmns.name AS [Name],
ISNULL(dc.Name, N?) AS [DefaultConstraintName],
clmns.is_nullable AS [Nullable],
CAST(ISNULL(cik.index_column_id, ?) AS bit) AS [InPrimaryKey],
clmns.is_identity AS [Identity],
usrt.name AS [DataType],
ISNULL(baset.name, N?) AS [SystemType],
CAST(CASE WHEN baset.name IN (N?, N?) AND clmns.max_length &lt;&gt; -? THEN clmns.max_length/? ELSE clmns.max_length END AS int) AS [Length],
CAST(clmns.precision AS int) AS [NumericPrecision],
CAST(clmns.scale AS int) AS [NumericScale],
ISNULL(xscclmns.name, N?) AS [XmlSchemaNamespace],
ISNULL(s2clmns.name, N?) AS [XmlSchemaNamespaceSchema],
ISNULL( (case clmns.is_xml_document when ? then ? else ? end), ?) AS [XmlDocumentConstraint],
s1clmns.name AS [DataTypeSchema],
clmns.is_computed AS [Computed]
FROM
sys.tables AS tbl
INNER JOIN sys.all_columns AS clmns ON clmns.object_id=tbl.object_id
LEFT OUTER JOIN sys.default_constraints as dc ON clmns.default_object_id = dc.object_id
LEFT OUTER JOIN sys.indexes AS ik ON ik.object_id = clmns.object_id and ?=ik.is_primary_key
LEFT OUTER JOIN sys.index_columns AS cik ON cik.index_id = ik.index_id and cik.column_id = clmns.column_id and cik.object_id = clmns.object_id and ? = cik.is_included_column
LEFT OUTER JOIN sys.types AS usrt ON usrt.user_type_id = clmns.user_type_id
LEFT OUTER JOIN sys.types AS baset ON (baset.user_type_id = clmns.system_type_id and baset.user_type_id = baset.system_type_id) or ((baset.system_type_id = clmns.system_type_id) and (baset.user_type_id = clmns.user_type_id) and (baset.is_user_defined = ?) and (baset.is_assembly_type = ?))
LEFT OUTER JOIN sys.xml_schema_collections AS xscclmns ON xscclmns.xml_collection_id = clmns.xml_collection_id
LEFT OUTER JOIN sys.schemas AS s2clmns ON s2clmns.schema_id = xscclmns.schema_id
LEFT OUTER JOIN sys.schemas AS s1clmns ON s1clmns.schema_id = usrt.schema_id
WHERE
(tbl.name=@_msparam_0 and SCHEMA_NAME(tbl.schema_id)=@_msparam_1)
ORDER BY
[ID] ASC",1h 34m 10s,30,309,0h 0m 18.28s,1
42,020000006E6476027AFDF957261E8B44F9657C88EECA91100000000000000000000000000000000000000000,"SELECT
tr.name AS [Name],
tr.object_id AS [ID],
CAST(
tr.is_ms_shipped
AS bit) AS [IsSystemObject],
CASE WHEN tr.type = N? THEN ? WHEN tr.type = N? THEN ? ELSE ? END AS [ImplementationType],
CAST(CASE WHEN ISNULL(smtr.definition, ssmtr.definition) IS NULL THEN ? ELSE ? END AS bit) AS [IsEncrypted]
FROM
sys.triggers AS tr
LEFT OUTER JOIN sys.sql_modules AS smtr ON smtr.object_id = tr.object_id
LEFT OUTER JOIN sys.system_sql_modules AS ssmtr ON ssmtr.object_id = tr.object_id
WHERE
(tr.parent_class = ?)
ORDER BY
[Name] ASC",1h 28m 29s,9,42,0h 2m 6.40s,1
91,030006000ED90E333B8220012BB3000001000000000000000000000000000000000000000000000000000000,loadDataFromGroupKPIDTDOView,1h 26m 47s,21,91,0h 0m 57.22s,1
2,0200000000B5C72579401B8AAC72F364767672151201319D0000000000000000000000000000000000000000,select * from [dbo].[POLICYHIERARCHY],1h 26m 24s,2,2,0h 43m 12.00s,1
0,020000006713560660FF3D1C060D3E20FD12F328D990DCE90000000000000000000000000000000000000000,"SELECT
SCHEMA_NAME(obj.schema_id) AS [Schema],
obj.name AS [Name],
obj.object_id AS [ID]
FROM
sys.objects AS obj
WHERE
(obj.type=N?)
ORDER BY
[Schema] ASC,[Name] ASC",1h 20m 1s,3,0,'-,0
78,02000000AC7FBD033130EA096EA1E99B5791A03777AA26800000000000000000000000000000000000000000,"(@P1 datetime,@P2 datetime)SELECT *fROM COMPENSATIONPAYABLE NOLOCK
WHERE [SYSTEMUPDATEDDT] between @P1 and @P2",1h 18m 5s,14,78,0h 1m 0.06s,0
10943,0200000020A7A60C80B2B5DEC5F7FCC91C5CC2ABA84E07A70000000000000000000000000000000000000000,"(@P0 nvarchar(?))select this_.SERVICEQUESTRESPSEQ as SERVICEQ1_408_0_, this_.versionid as versionid408_0_, this_.guid as guid408_0_, this_.QUESTIONSETCD as QUESTION4_408_0_, this_.QUESTIONDATAELEMENTCD as QUESTION5_408_0_, this_.DOCUMENTCD as DOCUMENTCD408_0_, this_.QUESTIONNAIRETYPECD as QUESTION7_408_0_, this_.ENTITYGUID as ENTITYGUID408_0_, this_.PARTYGUID as PARTYGUID408_0_, this_.ROWGUID as ROWGUID408_0_, this_.RESPONSEVALUE as RESPONS11_408_0_, this_.SCORE as SCORE408_0_, this_.WEIGHT as WEIGHT408_0_, this_.SYSTEMCREATEDDT as SYSTEMC14_408_0_, this_.SYSTEMUPDATEDDT as SYSTEMU15_408_0_ from SERVICEQUESTIONRESPONSE this_ where (this_.ENTITYGUID= @P0 )",1h 14m 4s,18,10943,0h 0m 0.41s,0
409,02000000A6D9B403451DDA0BFAE79A5820BF5E2C26DF55040000000000000000000000000000000000000000,"with [CTE](Name, Designation, AgentID, parentid,GroupCode, GroupCodeBanca, sortcode, ind, AGENTSTATUSCD, LevelNum, PARENTAGENCYID) as (
select Name, Designate, agentID, parentid
, CAST( case when LevelNum = ? then agentid else ? end AS VARCHAR (?)) as GroupCode
, CAST( case when LevelNum = ? then agentid else ? end AS VARCHAR (?)) as GroupCodeBanca
, CAST( isnull(parentid,?) + ? + agentid AS VARCHAR (?)) as sortcode
, CAST(? AS VARCHAR (?)) as ind
, AGENTSTATUSCD, LevelNum, PARENTAGENCYID
from (
SELECT d.DESIGNATIONLEVEL AS LevelNum, dbo.AGENT.AGENTNAME AS Name, dbo.AGENT.AGENTID, dbo.AGENTDETAIL.DESIGNATIONCD AS Designate,
dbo.AGENTDETAIL.PARENTAGENTID AS ParentID, dbo.AGENTDETAIL.AGENTSTATUSCD, dbo.AGENTDETAIL.PARENTAGENCYID
FROM dbo.AGENT WITH(NOLOCK) INNER JOIN
dbo.AGENTDETAIL WITH(NOLOCK) ON dbo.AGENT.AGENTSEQ = dbo.AGENTDETAIL.AGENTSEQ INNER JOIN
dbo.DESIGNATION_M AS d WITH(NOLOCK) ON d.DESIGNATIONCD = dbo.AGENTDETAIL.DESIGNATIONCD
WHERE agentid is not null
) c
--where (c.AgentID = @searchID OR @searchID IS NULL)
 where (c.AgentID IS NULL OR
(c.PARENTID is null))
union all
select c.Name, c.Designate, c.AgentID, c.parentid
, CAST(case when c.LevelNum=? then (case when p.GroupCode is null or p.GroupCode= ? then c.agentid else p.GroupCode end) else p.GroupCode end AS VARCHAR (?)) as GroupCode
, CAST(case when c.LevelNum=? then (case when p.GroupCodeBanca is null or p.GroupCodeBanca= ? then c.agentid else p.GroupCodeBanca end) else p.GroupCodeBanca end AS VARCHAR (?)) as GroupCodeBanca
, CAST( p.sortcode + ? + c.agentid AS VARCHAR (?)) as sortcode
, CAST(?+ p.ind AS VARCHAR (?)) as ind
, c.AGENTSTATUSCD, c.LevelNum, c.PARENTAGENCYID
from (
SELECT d.DESIGNATIONLEVEL AS LevelNum, dbo.AGENT.AGENTNAME AS Name, dbo.AGENT.AGENTID, dbo.AGENTDETAIL.DESIGNATIONCD AS Designate,
dbo.AGENTDETAIL.PARENTAGENTID AS ParentID, dbo.AGENTDETAIL.AGENTSTATUSCD, dbo.AGENTDETAIL.PARENTAGENCYID
FROM dbo.AGENT WITH(NOLOCK) INNER JOIN
dbo.AGENTDETAIL WITH(NOLOCK) ON dbo.AGENT.AGENTSEQ = dbo.AGENTDETAIL.AGENTSEQ INNER JOIN
dbo.DESIGNATION_M AS d WITH(NOLOCK) ON d.DESIGNATIONCD = dbo.AGENTDETAIL.DESIGNATIONCD
WHERE agentid is not null
) c
inner JOIN [CTE] p ON c.parentid = p.AgentID
)
select cp.AgentID, cp.parentid, cp.sortcode,cp.GroupCode, Designation, cp.ind, AGENTSTATUSCD,
DisplayName, PARENTAGENCYID, cp.GroupCodeBanca from (
select sort = ROW_NUMBER() over(partition by cp.AgentID order by cp.AgentID,AGENTSTATUSCD) ,cp.AgentID, cp.parentid, cp.sortcode,cp.GroupCode, Designation, cp.ind, AGENTSTATUSCD,
CAST( cp.Name AS VARCHAR (?)) as DisplayName, PARENTAGENCYID, cp.GroupCodeBanca from [CTE] cp
)cp
where ?=?
and sort = ?
--and cp.AgentID=&#x27;20000513&#x27;",1h 4m 20s,30,409,0h 0m 9.44s,0
309,02000000202A0E1A061F0B5D3F5CD2E66357307608834B6D0000000000000000000000000000000000000000,"(@P1 datetime,@P2 datetime)select * from POLICYPRODUCT_D nolock
where systemupdateddt between @P1 and @P2",0h 53m 1s,28,309,0h 0m 10.29s,0
0,020000000DC7210FB9CA3CE6CBC387F661CA15738107239D0000000000000000000000000000000000000000,"SELECT &quot;Tbl1004&quot;.&quot;CHANNELCD&quot; &quot;Col1007&quot;,&quot;Tbl1004&quot;.&quot;POLICYNUM&quot; &quot;Col1008&quot;,&quot;Tbl1004&quot;.&quot;LOGINDT&quot; &quot;Col1009&quot;,&quot;Tbl1004&quot;.&quot;POLICYISSUEDT&quot; &quot;Col1010&quot;,&quot;Tbl1004&quot;.&quot;APPROPRIATIONDT&quot; &quot;Col1011&quot;,&quot;Tbl1004&quot;.&quot;SERVICINGAGENTCD&quot; &quot;Col1012&quot;,&quot;Tbl1004&quot;.&quot;AGENTNAME&quot; &quot;Col1013&quot;,&quot;Tbl1004&quot;.&quot;RECRUITEDBYAGENTID&quot; &quot;Col1014&quot;,&quot;Tbl1004&quot;.&quot;PARENTAGENTID&quot; &quot;Col1015&quot;,&quot;Tbl1004&quot;.&quot;DESIGNATIONCD&quot; &quot;Col1016&quot;,&quot;Tbl1004&quot;.&quot;FWO&quot; &quot;Col1017&quot;,&quot;Tbl1004&quot;.&quot;FWM&quot; &quot;Col1018&quot;,&quot;Tbl1004&quot;.&quot;FWD&quot; &quot;Col1019&quot;,&quot;Tbl1004&quot;.&quot;RM&quot; &quot;Col1020&quot;,&quot;Tbl1004&quot;.&quot;SD&quot; &quot;Col1021&quot;,&quot;Tbl1004&quot;.&quot;G1&quot; &quot;Col1022&quot;,&quot;Tbl1004&quot;.&quot;G2&quot; &quot;Col1023&quot;,&quot;Tbl1004&quot;.&quot;G3&quot; &quot;Col1024&quot;,&quot;Tbl1004&quot;.&quot;BRANCHID&quot; &quot;Col1025&quot;,&quot;Tbl1004&quot;.&quot;LIFEASSURED&quot; &quot;Col1026&quot;,&quot;Tbl1004&quot;.&quot;POLICYHOLDER&quot; &quot;Col1027&quot;,&quot;Tbl1004&quot;.&quot;PRODUCTCD&quot; &quot;Col1028&quot;,&quot;Tbl1004&quot;.&quot;PREMIUMTYPECD&quot; &quot;Col1029&quot;,&quot;Tbl1004&quot;.&quot;PREMIUMSUBTYPECD&quot; &quot;Col1030&quot;,&quot;Tbl1004&quot;.&quot;APPROPRIATIONAMT&quot; &quot;Col1031&quot;,&quot;Tbl1004&quot;.&quot;ANP&quot; &quot;Col1032&quot;,&quot;Tbl1004&quot;.&quot;NOP&quot; &quot;Col1033&quot;,&quot;Tbl1004&quot;.&quot;POLICYSTATUSCD&quot; &quot;Col1034&quot;,&quot;Tbl1004&quot;.&quot;PREMIUMSTATUSCODE&quot; &quot;Col1035&quot;,&quot;Tbl1004&quot;.&quot;SELFCONTRACTINDICATORFL&quot; &quot;Col1036&quot;,&quot;Tbl1004&quot;.&quot;PAYMENTFREQUENCYCD&quot; &quot;Col1005&quot; FROM &quot;C2L_DMS&quot;.&quot;DBO&quot;.&quot;TN_POLICYPREMTRANS_V&quot; &quot;Tbl1004&quot; WITH (NOLOCK)",0h 46m 38s,6,0,'-,0
0,02000000C62E32062F6CF16215FD32CDE93114C93DE4CB900000000000000000000000000000000000000000,"SELECT
SCHEMA_NAME(udf.schema_id) AS [Schema],
udf.name AS [Name],
udf.object_id AS [ID]
FROM
sys.all_objects AS udf
WHERE
(udf.type in (?, ?, ?, ?, ?))
ORDER BY
[Schema] ASC,[Name] ASC",0h 43m 20s,2,0,'-,0
2,02000000128243339C5A476E4E6B577AC79226F0F13638720000000000000000000000000000000000000000,select * from [dbo].[KPIResult],0h 39m 45s,2,2,0h 19m 52.50s,0
76,020000001A7D0C2EF0BE1FA9E4BA0CBF9DFD735B7133D9190000000000000000000000000000000000000000,"(@P1 datetime,@P2 datetime)SELECT PREMIUMSEQ,POLICYSEQ,POLICYPRODUCTSEQ,
POLICYNUM,SOURCE,SUBTRANCHENO,PRODUCTCD,
PRODUCTVER,PRODUCTTYPECD,PRODUCTSEQ,ORIGINALPREMIUMGUID,PREMIUMDUEDT,POLICYYEARINFORCE,
POLICYMONTHINFORCEFROM,POLICYMONTHINFORCETO,
DUETYPECD,DUEAMT,EXTRAPREMIUMAMT,APPROPRIATIONTYPECD,APPROPRIATIONDT,APPROPRIATIONAMT,PREMIUMSOURCE,
MOVEMENTSEQ,PRODUCTIONEFFECTIVEDT,REVERSALFL,TRANSACTIONCD,INTERFACEPROCESSFL,VERSIONID,GUID,
POLICYGUID,REFERENCEGUID,POLICYPRODUCTGUID,
PREMIUMSUBTYPECD,COR,FCPREMAMT,EXCHANGERATE,
SYSTEMCREATEDDT,SYSTEMUPDATEDDT,additionalField1,
additionalField2,additionalField3,additionalField4,additionalField5,
additionalField6,additionalField7,TOTALCOMMISSION,COMMISSIONRATE1,REFRATE1,REFRATE2,TOTALCOMMISSIONRECEIVEDDT,
VAT,WHT,BILLTYPE,EDUCATIONBENEFITTERM fROM PREMIUM NOLOCK
WHERE [SYSTEMUPDATEDDT] between @P1 and @P2",0h 38m 15s,14,76,0h 0m 30.20s,0
596888,0200000093C8BF2E95867DBA6D8AB6B72CA91DE9E16FB0D60000000000000000000000000000000000000000,"select *, HASHBYTES(?, CONCAT(sql_text, sql_handle)) as sql_id, HASHBYTES(?, CONCAT(sql_text, sql_handle, plan_handle)) as handle_id, HASHBYTES(?, CONCAT(plan_handle, query_plan_hash)) as plan_id from (select s.session_id, db_name(s.database_id) as db, s.program_name, s.login_name, s.host_name, r.sql_handle, r.query_hash, substring(t.text, (r.statement_start_offset/?)+?, ((CASE r.statement_end_offset WHEN -? THEN DATALENGTH(t.TEXT) ELSE r.statement_end_offset END - r.statement_start_offset)/?)+?) sql_text, r.wait_type, r.plan_handle, r.query_plan_hash from sys.dm_exec_sessions s, sys.dm_exec_requests r outer apply sys.dm_exec_sql_text(r.sql_handle) t where s.session_id = r.session_id and s.session_id != @@SPID) f",0h 37m 17s,1,596888,0h 0m 0.00s,0
20,020000002B3AF82446A9DD2D9A091D2494B9466E3FF12FD60000000000000000000000000000000000000000,"(@P1 bigint)SELECT *fROM KPIRESULT NOLOCK
WHERE CONVERT(BIGINT, convert(varchar, [SYSTEMUPDATEDDT],?) ) &gt;= @P1",0h 36m 58s,6,20,0h 1m 50.90s,0
